g111	g112	g113	g121	g122	g123	g131	g132	g133	g14	g15	g211	g212	g213	g214	g215	g216	g217	g218	g219	g2110	g22	g23	g24	g25	g26	g3
0 0	3 4	1 2	3 4	7 10	6 9	0 1	0 0	4 7	0 1	1 1	23 34	45 45	84 84	163 163	9 9	14 14	16617 16617	0 0	5 5	3 3	0 1	2 3	4 6	4 6	4 6	320000 480000	
0 1	0 1	3 4	4 7	8 12	8 12	0 1	0 1	4 7	1 2	0 0	5 8	40 40	80 80	170 170	9 9	15 15	16114 16114	9 9	2 2	5 5	2 3	2 3	1 2	2 3	0 1	80000 120000	
0 0	2 3	1 2	5 8	5 8	4 7	0 0	3 4	3 4	0 1	0 0	0 1	40 40	68 68	132 132	8 8	43 43	14863 14863	6 6	3 3	5 5	4 6	0 1	1 2	4 6	0 1	80000 120000	
0 1	2 3	3 4	4 6	8 12	1 2	4 6	3 4	3 4	4 6	0 0	4 7	3 3	5 5	12 12	1 1	35 35	390 390	14 14	5 5	2 2	2 3	2 3	4 6	2 3	0 1	80000 120000	
0 1	0 1	3 4	4 7	6 9	6 9	1 2	0 1	4 7	2 3	1 1	24 36	28 28	53 53	102 102	5 5	33 33	9824 9824	15 15	4 4	2 2	2 3	2 3	3 4	0 1	4 6	320000 480000	
3 4	0 1	3 4	0 1	8 12	0 1	4 6	0 1	1 2	4 6	1 1	21 32	28 28	47 47	122 122	6 6	44 44	10721 10721	3 3	2 2	4 4	2 3	4 6	4 6	1 2	3 4	273644 410467	
0 0	2 3	0 0	4 7	6 9	1 2	3 4	0 1	1 2	0 1	1 1	16 25	32 32	65 65	111 111	6 6	18 18	11404 11404	19 19	1 1	3 3	1 2	2 3	3 4	1 2	2 3	169879 254818	
2 3	2 3	0 1	1 2	7 10	4 7	1 2	1 2	2 3	3 4	1 1	20 30	34 34	76 76	134 134	7 7	48 48	15254 15254	1 1	5 5	4 4	0 1	4 6	0 1	0 1	3 4	260932 391398	
1 2	3 4	0 1	8 12	3 4	1 2	3 4	3 4	6 9	2 3	0 0	12 18	15 15	31 31	64 64	3 3	50 50	4459 4459	6 6	1 1	3 3	4 6	4 6	3 4	1 2	1 2	106427 159640	
3 4	1 2	0 0	7 10	1 2	4 7	0 1	0 0	4 7	3 4	1 1	19 28	2 2	2 2	14 14	0 0	23 23	611 611	0 0	2 2	4 4	3 4	3 4	4 6	4 6	3 4	283054 424581	
3 4	0 1	0 1	8 12	3 4	4 7	4 6	0 1	4 6	3 4	0 0	7 10	37 37	85 85	167 167	7 7	6 6	15093 15093	6 6	4 4	3 3	2 3	2 3	2 3	4 6	1 2	97946 146919	
0 0	0 1	3 4	2 3	5 8	4 6	2 3	0 0	5 8	3 4	1 1	19 28	5 5	3 3	27 27	0 0	47 47	1341 1341	4 4	1 1	3 3	4 6	3 4	1 2	2 3	3 4	268818 403227	
0 0	0 1	3 4	1 2	3 4	5 8	2 3	0 0	0 1	2 3	0 0	3 4	10 10	16 16	50 50	3 3	42 42	4563 4563	19 19	4 4	1 1	0 1	2 3	1 2	1 2	0 1	90754 136131	
0 1	3 4	0 1	8 12	6 9	6 9	2 3	2 3	5 8	1 2	0 0	9 14	26 26	57 57	107 107	4 4	48 48	10361 10361	16 16	2 2	1 1	1 2	2 3	0 1	2 3	1 2	135864 203796	
0 1	0 1	1 2	0 1	6 9	4 7	3 4	0 0	5 8	2 3	0 0	5 8	5 5	16 16	49 49	1 1	28 28	3614 3614	17 17	5 5	2 2	3 4	0 1	0 1	1 2	0 1	80000 120000	
3 4	1 2	0 0	6 9	3 4	8 12	2 3	0 0	4 7	0 1	0 0	10 15	11 11	12 12	19 19	0 0	49 49	2430 2430	4 4	3 3	4 4	0 1	4 6	4 6	0 1	1 2	138655 207982	
0 1	3 4	0 1	4 7	4 7	2 3	0 0	2 3	0 1	2 3	1 1	17 26	41 41	85 85	183 183	8 8	27 27	17205 17205	5 5	3 3	4 4	1 2	2 3	2 3	4 6	3 4	287220 430830	
1 2	3 4	2 3	7 10	3 4	0 1	2 3	2 3	4 7	2 3	1 1	20 30	44 44	89 89	182 182	9 9	16 16	18992 18992	16 16	5 5	4 4	2 3	2 3	4 6	3 4	3 4	247712 371568	
0 0	2 3	0 1	4 6	2 3	6 9	4 6	1 2	4 7	4 6	0 0	12 18	37 37	76 76	118 118	6 6	7 7	13554 13554	6 6	2 2	5 5	4 6	3 4	1 2	2 3	1 2	114457 171686	
3 4	2 3	3 4	6 9	4 7	7 10	0 1	3 4	2 3	2 3	0 0	6 9	6 6	20 20	36 36	1 1	6 6	2797 2797	0 0	3 3	4 4	0 1	1 2	0 1	3 4	1 2	120336 180504	
2 3	2 3	1 2	2 3	7 10	1 2	3 4	2 3	5 8	3 4	1 1	19 28	44 44	82 82	145 145	8 8	4 4	16137 16137	1 1	4 4	4 4	1 2	2 3	1 2	3 4	3 4	239572 359358	
3 4	2 3	3 4	6 9	7 10	6 9	4 6	3 4	5 8	2 3	1 1	14 21	36 36	72 72	140 140	8 8	23 23	15112 15112	4 4	1 1	4 4	1 2	2 3	2 3	0 1	2 3	180614 270921	
0 0	0 0	0 0	7 10	8 12	7 10	0 1	0 0	3 4	1 2	1 1	14 21	0 0	2 2	16 16	0 0	31 31	700 700	14 14	5 5	1 1	1 2	0 1	2 3	1 2	2 3	198496 297744	
3 4	2 3	0 1	7 10	3 4	4 7	0 0	0 0	1 2	3 4	0 0	1 2	12 12	24 24	56 56	2 2	43 43	4552 4552	5 5	5 5	2 2	1 2	3 4	1 2	4 6	0 1	80000 120000	
1 2	0 1	3 4	4 6	7 10	8 12	3 4	0 0	5 8	1 2	1 1	22 33	8 8	22 22	32 32	2 2	17 17	2840 2840	18 18	1 1	5 5	2 3	4 6	4 6	2 3	4 6	320000 480000	
3 4	3 4	0 1	3 4	1 2	8 12	0 1	0 1	4 6	2 3	0 0	0 1	12 12	31 31	61 61	2 2	3 3	4923 4923	19 19	2 2	2 2	2 3	0 1	0 1	3 4	0 1	80000 120000	
3 4	0 1	3 4	8 12	8 12	3 4	4 6	0 1	4 7	3 4	1 1	13 20	23 23	51 51	79 79	4 4	31 31	8280 8280	16 16	1 1	5 5	3 4	0 1	4 6	2 3	2 3	198564 297846	
0 1	0 0	0 0	2 3	7 10	7 10	0 1	2 3	4 6	4 6	1 1	12 19	46 46	78 78	168 168	9 9	12 12	16503 16503	8 8	4 4	1 1	0 1	3 4	1 2	4 6	2 3	162092 243138	
0 0	3 4	2 3	8 12	1 2	2 3	3 4	0 0	1 2	1 2	1 1	12 19	9 9	20 20	50 50	2 2	4 4	4452 4452	11 11	3 3	1 1	4 6	2 3	4 6	3 4	2 3	189198 283797	
2 3	1 2	2 3	7 10	1 2	2 3	2 3	0 0	0 1	3 4	0 0	9 14	50 50	93 93	195 195	10 10	37 37	19288 19288	9 9	1 1	1 1	3 4	4 6	2 3	4 6	1 2	102564 153847	
3 4	0 0	2 3	7 10	2 3	3 4	3 4	1 2	4 7	4 6	1 1	23 34	41 41	81 81	164 164	9 9	48 48	17157 17157	5 5	5 5	2 2	0 1	4 6	2 3	0 1	3 4	265589 398384	
0 1	0 0	1 2	2 3	6 9	3 4	3 4	2 3	5 8	2 3	0 0	9 14	28 28	63 63	105 105	7 7	35 35	11106 11106	7 7	3 3	3 3	0 1	2 3	0 1	4 6	1 2	121713 182570	
1 2	0 1	0 1	6 9	5 8	6 9	3 4	0 0	2 3	0 1	0 0	3 4	22 22	46 46	90 90	3 3	24 24	7423 7423	10 10	4 4	4 4	1 2	4 6	2 3	4 6	0 1	88795 133192	
2 3	2 3	3 4	3 4	4 6	4 7	0 0	1 2	1 2	0 1	1 1	14 21	6 6	23 23	30 30	2 2	12 12	2815 2815	12 12	2 2	5 5	0 1	0 1	0 1	3 4	2 3	184073 276110	
0 0	1 2	0 0	1 2	4 7	5 8	0 0	2 3	4 7	3 4	1 1	24 36	2 2	7 7	10 10	1 1	47 47	1529 1529	8 8	1 1	3 3	0 1	3 4	0 1	0 1	4 6	320000 480000	
3 4	2 3	0 1	4 6	1 2	1 2	2 3	2 3	3 4	4 6	0 0	10 15	27 27	47 47	92 92	5 5	34 34	8708 8708	18 18	5 5	5 5	0 1	0 1	4 6	3 4	1 2	142843 214264	
2 3	1 2	0 0	4 7	8 12	5 8	0 1	1 2	4 7	4 6	0 0	10 15	38 38	80 80	156 156	7 7	35 35	14351 14351	20 20	2 2	4 4	4 6	2 3	4 6	3 4	1 2	123903 185854	
0 0	2 3	0 0	0 1	1 2	5 8	0 1	1 2	5 8	1 2	1 1	15 22	26 26	37 37	72 72	4 4	34 34	8903 8903	20 20	3 3	1 1	3 4	2 3	1 2	2 3	2 3	223774 335661	
1 2	1 2	0 0	0 1	4 6	4 7	1 2	0 0	3 4	2 3	1 1	19 28	21 21	36 36	77 77	4 4	41 41	8473 8473	20 20	3 3	3 3	2 3	2 3	2 3	0 1	3 4	278860 418290	
3 4	3 4	0 0	7 10	1 2	6 9	4 6	1 2	4 6	1 2	1 1	16 25	42 42	98 98	181 181	9 9	49 49	17637 17637	7 7	3 3	4 4	3 4	4 6	2 3	1 2	2 3	178754 268131	
1 2	1 2	2 3	2 3	5 8	0 1	0 0	3 4	4 6	3 4	0 0	6 9	20 20	40 40	53 53	2 2	10 10	6304 6304	7 7	5 5	2 2	1 2	4 6	2 3	1 2	0 1	80000 120000	
2 3	2 3	2 3	4 6	5 8	8 12	1 2	3 4	6 9	4 6	1 1	23 34	45 45	86 86	194 194	9 9	17 17	18362 18362	17 17	1 1	5 5	1 2	3 4	3 4	4 6	4 6	320000 480000	
3 4	2 3	0 1	8 12	8 12	2 3	0 0	3 4	5 8	3 4	0 0	9 14	13 13	28 28	55 55	2 2	47 47	5720 5720	19 19	4 4	5 5	0 1	3 4	1 2	0 1	1 2	117769 176654	
0 0	2 3	2 3	2 3	4 6	8 12	0 0	1 2	4 7	1 2	1 1	14 21	46 46	79 79	167 167	9 9	10 10	16832 16832	6 6	3 3	4 4	1 2	4 6	3 4	0 1	2 3	162807 244210	
1 2	3 4	0 0	2 3	4 6	5 8	2 3	2 3	1 2	2 3	1 1	17 26	0 0	4 4	10 10	0 0	23 23	198 198	18 18	1 1	3 3	3 4	4 6	3 4	1 2	3 4	258450 387675	
0 1	1 2	0 0	7 10	8 12	0 1	2 3	1 2	1 2	2 3	1 1	17 26	19 19	28 28	89 89	4 4	17 17	7397 7397	7 7	3 3	5 5	3 4	1 2	3 4	1 2	3 4	262800 394201	
0 1	0 1	2 3	6 9	8 12	4 7	0 1	3 4	4 7	1 2	1 1	20 31	2 2	4 4	10 10	1 1	7 7	353 353	5 5	1 1	5 5	4 6	1 2	1 2	3 4	3 4	252500 378750	
0 0	0 0	2 3	7 10	2 3	4 6	1 2	1 2	2 3	1 2	1 1	16 24	10 10	23 23	45 45	1 1	35 35	3384 3384	4 4	4 4	4 4	4 6	3 4	1 2	1 2	3 4	254254 381381	
0 0	0 1	1 2	6 9	8 12	2 3	3 4	1 2	4 6	3 4	1 1	12 18	7 7	17 17	39 39	1 1	26 26	4491 4491	20 20	2 2	4 4	0 1	1 2	3 4	1 2	2 3	190390 285585	
3 4	3 4	3 4	0 1	1 2	0 1	4 6	2 3	4 6	0 1	0 0	11 16	41 41	89 89	195 195	10 10	50 50	17664 17664	8 8	2 2	4 4	2 3	0 1	0 1	2 3	1 2	128756 193134	
2 3	1 2	3 4	1 2	7 10	3 4	0 0	1 2	4 6	4 6	1 1	15 22	11 11	6 6	34 34	1 1	39 39	2733 2733	14 14	5 5	3 3	3 4	3 4	2 3	0 1	2 3	198264 297396	
1 2	3 4	2 3	0 1	6 9	1 2	3 4	0 0	4 6	3 4	1 1	15 22	26 26	42 42	92 92	4 4	9 9	8504 8504	5 5	2 2	1 1	1 2	4 6	2 3	1 2	3 4	261564 392346	
0 0	1 2	0 0	5 8	4 6	8 12	2 3	3 4	6 9	0 1	1 1	21 32	26 26	55 55	82 82	4 4	12 12	10115 10115	4 4	2 2	3 3	1 2	0 1	1 2	3 4	3 4	239624 359436	
1 2	3 4	1 2	5 8	4 7	2 3	0 1	0 1	2 3	1 2	0 0	11 16	36 36	72 72	161 161	8 8	7 7	15824 15824	19 19	2 2	3 3	1 2	2 3	2 3	3 4	1 2	136134 204201	
0 0	0 0	3 4	8 12	6 9	6 9	1 2	3 4	4 6	0 1	0 0	2 3	6 6	24 24	15 15	2 2	44 44	3429 3429	9 9	4 4	1 1	0 1	2 3	1 2	2 3	0 1	80000 120000	
1 2	2 3	1 2	5 8	4 7	0 1	3 4	1 2	2 3	1 2	1 1	19 28	23 23	47 47	99 99	5 5	14 14	10214 10214	20 20	1 1	4 4	0 1	0 1	0 1	4 6	3 4	251703 377554	
0 1	3 4	1 2	1 2	4 6	0 1	0 0	3 4	4 6	4 6	0 0	5 8	10 10	24 24	50 50	3 3	12 12	4930 4930	1 1	5 5	3 3	0 1	1 2	4 6	2 3	0 1	80000 120000	
0 0	2 3	3 4	4 7	4 6	4 6	3 4	1 2	2 3	3 4	1 1	17 26	22 22	44 44	83 83	5 5	15 15	8433 8433	18 18	3 3	1 1	4 6	1 2	3 4	4 6	2 3	204052 306079	
1 2	2 3	1 2	6 9	7 10	2 3	4 6	3 4	4 7	0 1	0 0	2 3	36 36	69 69	169 169	7 7	19 19	15565 15565	1 1	5 5	3 3	3 4	1 2	0 1	2 3	0 1	80000 120000	
3 4	3 4	1 2	4 7	4 6	3 4	3 4	3 4	3 4	2 3	0 0	6 9	8 8	12 12	11 11	2 2	24 24	2158 2158	5 5	1 1	4 4	3 4	0 1	3 4	3 4	1 2	120645 180968	
0 1	0 1	0 0	3 4	4 6	1 2	4 6	0 1	4 6	2 3	1 1	14 21	12 12	24 24	37 37	2 2	6 6	3728 3728	19 19	3 3	1 1	4 6	1 2	1 2	4 6	2 3	191116 286675	
2 3	0 1	0 0	2 3	6 9	2 3	0 0	2 3	4 7	4 6	1 1	16 25	13 13	15 15	45 45	1 1	33 33	3416 3416	3 3	2 2	1 1	0 1	1 2	0 1	2 3	3 4	242964 364446	
3 4	2 3	3 4	4 7	2 3	5 8	0 1	3 4	2 3	0 1	0 0	9 14	29 29	50 50	84 84	5 5	37 37	9893 9893	0 0	4 4	2 2	2 3	0 1	1 2	1 2	1 2	129644 194466	
0 1	3 4	0 0	3 4	8 12	7 10	3 4	1 2	0 1	2 3	0 0	7 10	6 6	12 12	39 39	2 2	41 41	3451 3451	1 1	4 4	3 3	1 2	2 3	3 4	4 6	1 2	123260 184891	
0 0	0 1	0 0	4 6	5 8	2 3	2 3	2 3	6 9	4 6	0 0	1 2	44 44	100 100	173 173	10 10	7 7	19223 19223	19 19	5 5	2 2	1 2	0 1	3 4	0 1	0 1	80000 120000	
0 1	2 3	2 3	3 4	1 2	5 8	4 6	2 3	6 9	0 1	1 1	23 34	13 13	19 19	32 32	2 2	27 27	3920 3920	8 8	3 3	1 1	4 6	1 2	2 3	3 4	4 6	315612 473419	
1 2	0 1	3 4	0 1	6 9	6 9	0 0	0 1	5 8	2 3	1 1	13 20	5 5	3 3	10 10	0 0	29 29	277 277	14 14	5 5	3 3	1 2	0 1	0 1	4 6	2 3	178019 267028	
0 0	1 2	3 4	6 9	2 3	8 12	0 1	0 0	2 3	1 2	0 0	10 15	37 37	74 74	136 136	8 8	13 13	13980 13980	15 15	5 5	3 3	4 6	3 4	2 3	3 4	1 2	134138 201207	
1 2	0 1	2 3	1 2	5 8	4 6	3 4	0 1	3 4	4 6	1 1	20 30	30 30	66 66	140 140	6 6	12 12	13188 13188	2 2	1 1	4 4	3 4	4 6	0 1	1 2	3 4	262903 394354	
1 2	0 1	1 2	4 6	4 6	3 4	0 1	0 1	5 8	4 6	0 0	3 4	46 46	99 99	177 177	9 9	13 13	18155 18155	15 15	2 2	2 2	2 3	0 1	2 3	2 3	0 1	83264 124896	
0 0	3 4	2 3	4 7	5 8	3 4	2 3	0 1	6 9	2 3	0 0	4 6	19 19	38 38	103 103	4 4	39 39	8812 8812	18 18	4 4	5 5	3 4	1 2	0 1	4 6	0 1	80000 120000	
3 4	1 2	2 3	3 4	4 6	8 12	4 6	2 3	5 8	2 3	1 1	23 34	28 28	62 62	121 121	7 7	50 50	12122 12122	2 2	1 1	3 3	0 1	1 2	1 2	4 6	4 6	300395 450592	
2 3	2 3	2 3	1 2	8 12	3 4	0 1	2 3	2 3	2 3	1 1	20 30	17 17	49 49	80 80	5 5	2 2	7950 7950	1 1	3 3	2 2	0 1	4 6	0 1	3 4	3 4	256216 384325	
0 0	2 3	2 3	7 10	4 6	3 4	1 2	0 0	5 8	1 2	1 1	24 36	26 26	44 44	93 93	5 5	5 5	10278 10278	10 10	5 5	5 5	3 4	1 2	3 4	2 3	4 6	320000 480000	
1 2	0 0	0 0	1 2	4 6	6 9	4 6	1 2	6 9	3 4	1 1	20 30	4 4	9 9	39 39	1 1	19 19	3702 3702	5 5	1 1	1 1	2 3	1 2	3 4	4 6	3 4	282992 424488	
3 4	0 1	1 2	6 9	3 4	7 10	2 3	2 3	4 6	1 2	0 0	5 8	32 32	75 75	166 166	7 7	6 6	14819 14819	2 2	5 5	4 4	4 6	3 4	1 2	1 2	0 1	81095 121642	
0 1	0 1	3 4	0 1	8 12	0 1	4 6	3 4	4 7	0 1	1 1	16 25	25 25	49 49	93 93	4 4	22 22	8134 8134	18 18	3 3	1 1	0 1	2 3	3 4	0 1	2 3	185569 278354	
0 0	3 4	0 1	6 9	4 7	4 7	3 4	0 0	2 3	2 3	0 0	3 4	6 6	7 7	10 10	1 1	43 43	1139 1139	20 20	5 5	5 5	1 2	2 3	0 1	0 1	0 1	80000 120000	
1 2	0 0	1 2	6 9	2 3	4 7	0 0	0 1	6 9	2 3	0 0	10 15	13 13	28 28	70 70	4 4	3 3	7112 7112	13 13	4 4	5 5	2 3	0 1	2 3	2 3	1 2	131720 197580	
0 1	1 2	1 2	2 3	6 9	1 2	0 0	2 3	1 2	1 2	1 1	16 25	47 47	88 88	200 200	9 9	43 43	19469 19469	8 8	2 2	3 3	2 3	3 4	1 2	2 3	3 4	267767 401650	
1 2	1 2	1 2	4 6	1 2	8 12	3 4	0 0	0 1	0 1	1 1	20 30	39 39	95 95	181 181	9 9	10 10	17010 17010	6 6	4 4	3 3	2 3	3 4	0 1	4 6	4 6	320000 480000	
3 4	1 2	2 3	8 12	4 6	4 6	0 0	2 3	2 3	2 3	0 0	4 7	18 18	39 39	63 63	3 3	3 3	7108 7108	11 11	2 2	1 1	3 4	0 1	2 3	2 3	0 1	80000 120000	
1 2	0 0	3 4	4 6	7 10	3 4	0 1	0 1	4 6	0 1	0 0	5 8	45 45	100 100	197 197	10 10	19 19	19448 19448	7 7	1 1	4 4	4 6	2 3	3 4	1 2	1 2	158699 238048	
0 1	3 4	0 0	4 7	8 12	2 3	0 0	1 2	0 1	4 6	1 1	15 22	16 16	46 46	84 84	4 4	4 4	7238 7238	0 0	4 4	2 2	1 2	2 3	2 3	3 4	2 3	196508 294763	
2 3	1 2	0 1	8 12	2 3	1 2	2 3	1 2	4 7	0 1	0 0	0 1	3 3	7 7	32 32	1 1	13 13	2760 2760	7 7	4 4	1 1	1 2	3 4	2 3	3 4	0 1	80572 120858	
0 0	3 4	0 0	4 7	1 2	3 4	0 1	0 0	4 7	2 3	0 0	4 7	25 25	49 49	88 88	3 3	46 46	7998 7998	19 19	5 5	3 3	0 1	1 2	4 6	4 6	0 1	80000 120000	
2 3	1 2	0 1	3 4	1 2	2 3	2 3	3 4	4 6	0 1	0 0	8 13	25 25	67 67	107 107	6 6	13 13	12011 12011	20 20	1 1	4 4	0 1	2 3	0 1	4 6	1 2	133384 200077	
0 0	2 3	0 1	6 9	3 4	4 6	3 4	0 0	4 7	4 6	0 0	8 12	9 9	19 19	19 19	1 1	19 19	1850 1850	18 18	2 2	2 2	1 2	4 6	4 6	3 4	1 2	128926 193389	
0 0	2 3	2 3	8 12	1 2	5 8	2 3	0 0	1 2	4 6	1 1	22 33	47 47	83 83	198 198	8 8	42 42	18037 18037	13 13	3 3	5 5	4 6	2 3	0 1	0 1	3 4	238371 357556	
0 1	0 0	3 4	5 8	2 3	4 6	4 6	3 4	4 6	1 2	0 0	4 6	29 29	49 49	96 96	5 5	34 34	9628 9628	14 14	3 3	2 2	2 3	4 6	1 2	3 4	0 1	80000 120000	
0 1	3 4	3 4	6 9	8 12	4 6	0 1	0 0	0 1	1 2	1 1	21 32	10 10	6 6	16 16	1 1	23 23	2613 2613	12 12	3 3	5 5	4 6	2 3	3 4	2 3	4 6	320000 480000	
0 1	1 2	0 1	4 6	4 7	8 12	0 1	0 0	4 6	0 1	0 0	8 12	22 22	46 46	110 110	5 5	29 29	10308 10308	17 17	1 1	5 5	0 1	2 3	1 2	2 3	1 2	112547 168820	
0 0	0 1	3 4	6 9	1 2	7 10	0 0	0 1	2 3	3 4	1 1	20 31	22 22	42 42	59 59	3 3	31 31	6870 6870	11 11	4 4	2 2	4 6	3 4	0 1	4 6	4 6	310633 465950	
0 0	0 1	0 0	8 12	3 4	1 2	1 2	0 0	2 3	3 4	1 1	15 22	16 16	36 36	55 55	3 3	16 16	6340 6340	8 8	5 5	5 5	0 1	0 1	0 1	2 3	2 3	186765 280148	
1 2	2 3	1 2	8 12	1 2	4 7	0 0	1 2	4 6	3 4	0 0	2 3	5 5	12 12	15 15	1 1	44 44	1669 1669	12 12	2 2	3 3	1 2	4 6	3 4	4 6	0 1	80000 120000	
2 3	1 2	1 2	8 12	4 6	3 4	0 1	1 2	4 6	2 3	1 1	23 34	15 15	24 24	47 47	3 3	50 50	4270 4270	3 3	1 1	4 4	1 2	1 2	3 4	4 6	4 6	320000 480000	
2 3	3 4	2 3	7 10	4 6	4 7	0 1	2 3	4 7	3 4	0 0	12 18	31 31	51 51	109 109	6 6	19 19	12245 12245	0 0	5 5	1 1	3 4	0 1	2 3	2 3	1 2	108854 163281	
2 3	0 1	1 2	3 4	2 3	3 4	2 3	0 1	2 3	0 1	0 0	4 7	6 6	25 25	53 53	3 3	19 19	3925 3925	9 9	3 3	4 4	3 4	4 6	3 4	4 6	0 1	92399 138598	
1 2	1 2	3 4	1 2	4 6	5 8	1 2	3 4	0 1	2 3	0 0	8 12	31 31	73 73	148 148	8 8	6 6	14185 14185	10 10	1 1	2 2	0 1	0 1	1 2	1 2	1 2	150268 225403	
2 3	1 2	0 0	5 8	2 3	1 2	3 4	2 3	3 4	0 1	0 0	9 14	14 14	24 24	38 38	1 1	20 20	4012 4012	9 9	3 3	3 3	0 1	3 4	2 3	2 3	1 2	125715 188572	
0 1	2 3	1 2	5 8	1 2	6 9	2 3	3 4	4 6	1 2	1 1	18 27	47 47	86 86	180 180	10 10	20 20	17979 17979	10 10	5 5	4 4	4 6	4 6	1 2	4 6	3 4	268548 402823	
0 0	0 1	0 0	2 3	8 12	4 6	4 6	3 4	4 6	3 4	0 0	0 1	10 10	24 24	52 52	2 2	15 15	3705 3705	1 1	5 5	4 4	4 6	1 2	4 6	2 3	0 1	80000 120000	
0 0	1 2	0 1	0 1	6 9	2 3	0 1	2 3	6 9	2 3	0 0	7 10	1 1	2 2	10 10	0 0	2 2	161 161	9 9	5 5	2 2	3 4	4 6	4 6	0 1	0 1	80000 120000	
0 1	2 3	0 1	4 6	6 9	3 4	0 0	0 0	6 9	2 3	0 0	1 2	15 15	41 41	64 64	3 3	35 35	7815 7815	18 18	5 5	5 5	0 1	4 6	1 2	4 6	0 1	80000 120000	
0 1	0 1	2 3	4 7	5 8	4 7	0 0	0 0	6 9	1 2	1 1	21 32	12 12	26 26	47 47	1 1	28 28	3834 3834	8 8	4 4	1 1	1 2	0 1	1 2	2 3	3 4	233717 350576	
3 4	1 2	3 4	7 10	4 6	2 3	3 4	3 4	1 2	4 6	0 0	3 4	23 23	39 39	82 82	5 5	19 19	9533 9533	17 17	4 4	5 5	0 1	2 3	3 4	4 6	0 1	85568 128352	
0 1	0 0	3 4	4 7	4 6	4 6	0 0	3 4	0 1	0 1	0 0	8 12	43 43	89 89	188 188	9 9	1 1	17145 17145	20 20	5 5	4 4	4 6	4 6	1 2	1 2	1 2	107815 161722	
0 0	2 3	0 1	1 2	8 12	4 6	3 4	0 1	5 8	4 6	0 0	3 4	35 35	72 72	137 137	6 6	25 25	12564 12564	17 17	3 3	2 2	3 4	1 2	2 3	2 3	0 1	80000 120000	
0 1	0 0	1 2	2 3	4 6	6 9	3 4	0 0	3 4	3 4	1 1	18 27	18 18	35 35	55 55	3 3	30 30	5199 5199	4 4	2 2	3 3	4 6	2 3	4 6	0 1	3 4	230844 346267	
1 2	0 0	2 3	8 12	2 3	7 10	2 3	0 1	4 7	4 6	1 1	15 22	43 43	90 90	196 196	9 9	9 9	18124 18124	17 17	1 1	5 5	0 1	4 6	3 4	4 6	2 3	217176 325765	
3 4	0 1	1 2	2 3	2 3	6 9	3 4	2 3	6 9	1 2	0 0	1 2	20 20	47 47	70 70	4 4	18 18	9041 9041	16 16	2 2	1 1	2 3	2 3	3 4	4 6	0 1	80000 120000	
1 2	1 2	1 2	1 2	3 4	3 4	1 2	3 4	2 3	3 4	1 1	18 27	26 26	55 55	105 105	5 5	30 30	10527 10527	20 20	1 1	2 2	2 3	4 6	0 1	2 3	3 4	283373 425060	
0 1	3 4	2 3	7 10	7 10	1 2	0 0	2 3	4 7	0 1	1 1	18 27	1 1	5 5	28 28	1 1	42 42	1504 1504	16 16	5 5	1 1	0 1	1 2	3 4	2 3	3 4	238183 357274	
0 1	2 3	0 1	4 6	2 3	2 3	0 1	0 0	5 8	1 2	0 0	9 14	26 26	62 62	107 107	5 5	5 5	11928 11928	13 13	4 4	3 3	3 4	4 6	2 3	3 4	1 2	148654 222981	
2 3	3 4	3 4	4 7	1 2	8 12	3 4	0 0	1 2	4 6	0 0	4 7	20 20	43 43	87 87	4 4	16 16	9721 9721	5 5	1 1	2 2	2 3	3 4	0 1	4 6	0 1	80782 121173	
2 3	1 2	0 1	7 10	1 2	1 2	0 1	0 1	4 7	2 3	0 0	4 6	10 10	10 10	38 38	1 1	14 14	3040 3040	1 1	5 5	3 3	3 4	1 2	3 4	3 4	0 1	95833 143750	
0 1	0 1	1 2	1 2	8 12	7 10	2 3	0 1	0 1	0 1	1 1	16 25	26 26	43 43	82 82	6 6	35 35	9510 9510	14 14	4 4	2 2	4 6	1 2	4 6	3 4	3 4	277844 416767	
2 3	3 4	1 2	4 7	2 3	7 10	0 0	3 4	0 1	1 2	1 1	21 32	19 19	31 31	78 78	4 4	23 23	7075 7075	7 7	5 5	1 1	0 1	0 1	3 4	4 6	4 6	295836 443755	
3 4	1 2	3 4	2 3	2 3	0 1	4 6	1 2	6 9	0 1	1 1	13 20	40 40	62 62	155 155	7 7	18 18	14212 14212	12 12	5 5	2 2	0 1	1 2	4 6	1 2	2 3	194739 292108	
3 4	1 2	0 0	4 6	2 3	4 6	4 6	0 0	5 8	1 2	1 1	17 26	17 17	39 39	96 96	4 4	22 22	7596 7596	7 7	5 5	4 4	3 4	2 3	0 1	1 2	2 3	168096 252144	
2 3	0 0	0 1	0 1	1 2	5 8	3 4	2 3	6 9	0 1	1 1	20 31	5 5	9 9	33 33	1 1	6 6	2180 2180	1 1	1 1	5 5	4 6	3 4	3 4	1 2	4 6	319731 479596	
0 1	3 4	1 2	4 6	5 8	8 12	2 3	0 0	6 9	3 4	1 1	16 25	32 32	66 66	125 125	6 6	8 8	12333 12333	16 16	4 4	3 3	2 3	2 3	4 6	3 4	3 4	270660 405990	
3 4	1 2	3 4	3 4	7 10	3 4	2 3	3 4	5 8	1 2	1 1	15 22	5 5	18 18	27 27	2 2	26 26	3334 3334	11 11	5 5	4 4	4 6	4 6	2 3	3 4	2 3	200080 300120	
